dataset,sequence,frames,auc,precision,norm_precision
dtb70,Surfing12,135,41.7283935546875,94.0740737915039,62.96295928955078
dtb70,Surfing04,158,69.86136627197266,97.46835327148438,88.60759735107422
dtb70,SUP5,222,81.91764068603516,100.0,98.64865112304688
dtb70,RcCar3,202,52.56953811645508,65.84158325195312,76.23762512207031
dtb70,BMX2,160,76.57737731933594,94.375,93.75
uavdt,S1401,188,36.32218933105469,55.319149017333984,32.978721618652344
uavdt,S0103,1135,23.973148345947266,28.986783981323242,28.634361267089844
uavdt,S0402,561,69.07733154296875,100.0,85.73974609375
uavdt,S0306,295,72.67151641845703,100.0,89.83050537109375
uavdt,S1313,2045,58.55396270751953,82.9828872680664,72.07823944091797
visdrone,uav0000107_01763_s,305,71.50662994384766,85.90164184570312,85.90164184570312
visdrone,uav0000237_00001_s,599,53.311073303222656,66.77796173095703,64.60768127441406
visdrone,uav0000175_00697_s,187,79.16986083984375,95.18716430664062,100.0
visdrone,uav0000148_00840_s,807,73.80657196044922,100.0,93.43246459960938
visdrone,uav0000198_00000_s,1301,63.0321044921875,88.16295623779297,87.31745147705078
uav123,uav_car13,415,65.17498779296875,100.0,82.16867065429688
uav123,uav_person4_1,1501,77.28498840332031,99.4670181274414,95.1365737915039
uav123,uav_group1_3,1411,57.183349609375,96.38554382324219,64.42239379882812
uav123,uav_car9,1879,81.35025787353516,99.78712463378906,99.20170593261719
uav123,uav_person2_2,1435,67.34693908691406,99.79093933105469,89.1986083984375
