dataset,sequence,frames,auc,precision,norm_precision
dtb70,StreetBasketball1,241,55.977081298828125,94.6058120727539,52.282161712646484
dtb70,SUP2,133,77.98066711425781,100.0,99.24812316894531
dtb70,SnowBoarding4,109,78.11270904541016,100.0,93.5779800415039
dtb70,SpeedCar2,308,77.21087646484375,100.0,100.0
dtb70,Sheep1,391,14.955547332763672,14.833760261535645,13.299232482910156
uavdt,S1604,624,79.31929016113281,100.0,93.10897827148438
uavdt,S0102,350,72.6258544921875,97.14286041259766,96.57142639160156
uavdt,S1601,468,88.38014221191406,100.0,100.0
uavdt,S0501,232,37.787357330322266,50.86206817626953,46.982757568359375
uavdt,S1306,2435,76.97467803955078,100.0,94.90760040283203
visdrone,uav0000222_00900_s,1051,14.521317481994629,20.26641273498535,17.982873916625977
visdrone,uav0000238_00001_s,1200,82.57142639160156,100.0,100.0
visdrone,uav0000325_01656_s,346,86.29231262207031,100.0,100.0
visdrone,uav0000072_08448_s,145,71.06732177734375,98.62068939208984,93.10344696044922
visdrone,uav0000239_11136_s,961,84.92147064208984,100.0,99.68782806396484
uav123,uav_building2,577,63.39027786254883,75.38994598388672,74.00346374511719
uav123,uav_car12,499,39.06861114501953,71.54308319091797,68.13627624511719
uav123,uav_person3_s,505,80.2262954711914,84.95049285888672,97.42574310302734
uav123,uav_car1_3,1003,48.573326110839844,74.77567291259766,74.77567291259766
uav123,uav_wakeboard2,733,81.08881378173828,100.0,99.5907211303711
