dataset,sequence,frames,auc,precision,norm_precision
dtb70,Surfing12,135,34.46207809448242,98.51852416992188,52.592594146728516
dtb70,Surfing04,158,69.43942260742188,94.93671417236328,87.97468566894531
dtb70,SUP5,222,81.96053314208984,99.54955291748047,98.64865112304688
dtb70,RcCar3,202,47.05327606201172,58.910888671875,69.30693054199219
dtb70,BMX2,160,76.48809814453125,96.25,93.75
uavdt,S1401,188,29.027355194091797,41.48936462402344,28.19148826599121
uavdt,S0103,1135,24.036081314086914,29.251102447509766,29.07489013671875
uavdt,S0402,561,69.213134765625,100.0,87.8787841796875
uavdt,S0306,295,72.63922882080078,100.0,89.49153137207031
uavdt,S1313,2045,55.02387237548828,78.14180755615234,67.72615814208984
visdrone,uav0000107_01763_s,305,71.45979309082031,86.22950744628906,85.90164184570312
visdrone,uav0000237_00001_s,599,53.183876037597656,66.61101531982422,64.27379608154297
visdrone,uav0000175_00697_s,187,79.04253387451172,96.25668334960938,99.46524047851562
visdrone,uav0000148_00840_s,807,73.93048858642578,100.0,93.43246459960938
visdrone,uav0000198_00000_s,1301,70.46959686279297,100.0,99.538818359375
uav123,uav_car13,415,64.11932373046875,100.0,80.48192596435547
uav123,uav_person4_1,1501,77.2374038696289,99.4670181274414,94.93671417236328
uav123,uav_group1_3,1411,57.476966857910156,96.59815979003906,64.84762573242188
uav123,uav_car9,1879,81.32998657226562,99.8935546875,99.25492095947266
uav123,uav_person2_2,1435,67.35357666015625,99.86062622070312,89.8257827758789
